NÂº,cod_fipe,Marca,Modelo,combus,Ano,id_Ano,Media,nacionalidade,V_N
1,501034-9,AGRALE,10000 / 10000 S  2p (diesel) (E5),DDD,2017,Semi-Novo,121179,NACIONAL,
2,501034-9,AGRALE,10000 / 10000 S  2p (diesel) (E5),DDD,2017,Novo-Zero,146149,NACIONAL,
3,501039-0,AGRALE,10000 LX 2p (diesel) (E5),DDD,2017,Novo-Zero,151200,NACIONAL,
4,501039-0,AGRALE,10000 LX 2p (diesel) (E5),DDD,2017,Semi-Novo,127058,NACIONAL,
5,501030-6,AGRALE,14000 / 14000 S 2p (diesel) (E5),DDD,2017,Semi-Novo,151978,NACIONAL,
6,501030-6,AGRALE,14000 / 14000 S 2p (diesel) (E5),DDD,2017,Novo-Zero,178814,NACIONAL,
7,501031-4,AGRALE,14000 / 14000 S 6x2 2p (diesel) (E5),DDD,2017,Novo-Zero,196591,NACIONAL,
8,501031-4,AGRALE,14000 / 14000 S 6x2 2p (diesel) (E5),DDD,2017,Semi-Novo,161677,NACIONAL,
9,501040-3,AGRALE,14000 LX 2p (diesel) (E5),DDD,2017,Semi-Novo,154128,NACIONAL,
10,501040-3,AGRALE,14000 LX 2p (diesel) (E5),DDD,2017,Novo-Zero,181323,NACIONAL,
11,501032-2,AGRALE,8700 / 8700 S 2p (diesel) (E5),DDD,2017,Novo-Zero,139587,NACIONAL,
12,501032-2,AGRALE,8700 / 8700 S 2p (diesel) (E5),DDD,2017,Semi-Novo,115265,NACIONAL,
13,501038-1,AGRALE,8700 LX 2p (diesel) (E5),DDD,2017,Semi-Novo,126543,NACIONAL,
14,501038-1,AGRALE,8700 LX 2p (diesel) (E5),DDD,2017,Novo-Zero,150190,NACIONAL,
15,501033-0,AGRALE,8700 TR 2p (diesel) (E5),DDD,2017,Novo-Zero,148691,NACIONAL,
16,501033-0,AGRALE,8700 TR 2p (diesel) (E5),DDD,2017,Semi-Novo,123660,NACIONAL,
17,501037-3,AGRALE,A10000 2p (diesel) (E5),DDD,2017,Semi-Novo,117643,NACIONAL,
18,501037-3,AGRALE,A10000 2p (diesel) (E5),DDD,2017,Novo-Zero,140425,NACIONAL,
19,504135-0,FORD,CARGO 1319 E Turbo 2p (diesel)(E5),DDD,2017,Novo-Zero,162090,NACIONAL,
20,504135-0,FORD,CARGO 1319 E Turbo 2p (diesel)(E5),DDD,2017,Semi-Novo,134125,NACIONAL,
21,506077-0,IVECO,DAILY CHASSI 35S14 2p (dies.)(E5),DDD,2018,Semi-Novo,97341,NACIONAL,
22,506077-0,IVECO,DAILY CHASSI 35S14 2p (dies.)(E5),DDD,2018,Novo-Zero,109992,NACIONAL,
23,506117-2,IVECO,DAILY CHASSI 35S14 CD 4p (diesel)(E5),DDD,2018,Novo-Zero,141852,NACIONAL,
24,506117-2,IVECO,DAILY CHASSI 35S14 CD 4p (diesel)(E5),DDD,2018,Semi-Novo,121574,NACIONAL,
25,506080-0,IVECO,DAILY CHASSI 55C17 2p (dies.)(E5),DDD,2018,Semi-Novo,99424,NACIONAL,
26,506080-0,IVECO,DAILY CHASSI 55C17 2p (dies.)(E5),DDD,2018,Novo-Zero,116107,NACIONAL,
27,506082-6,IVECO,DAILY TRUCK CHAS. 70C17 2p (dies.)(E5),DDD,2018,Novo-Zero,127030,NACIONAL,
28,506082-6,IVECO,DAILY TRUCK CHAS. 70C17 2p (dies.)(E5),DDD,2018,Semi-Novo,107975,NACIONAL,
29,506083-4,IVECO,DAILY TRUCK CHAS. 70C17 CD 4p(dies.)(E5),DDD,2018,Semi-Novo,129163,NACIONAL,
30,506083-4,IVECO,DAILY TRUCK CHAS. 70C17 CD 4p(dies.)(E5),DDD,2018,Novo-Zero,152315,NACIONAL,
31,506118-0,IVECO,STRALIS 800-S48T TA 6x4 Eurot.(dies)(E5),DDD,2017,Novo-Zero,350340,NACIONAL,
32,506118-0,IVECO,STRALIS 800-S48T TA 6x4 Eurot.(dies)(E5),DDD,2017,Semi-Novo,298489,NACIONAL,
33,506128-8,IVECO,STRALIS HI-WAY 490-S44T 4X2 (diesel)(E5),DDD,2017,Semi-Novo,272548,NACIONAL,
34,506128-8,IVECO,STRALIS HI-WAY 490-S44T 4X2 (diesel)(E5),DDD,2017,Novo-Zero,310822,NACIONAL,
35,506091-5,IVECO,TECTOR 240E28S Stradale 6x2 2p(dies)(E5),DDD,2017,Novo-Zero,217070,NACIONAL,
36,506091-5,IVECO,TECTOR 240E28S Stradale 6x2 2p(dies)(E5),DDD,2017,Semi-Novo,184953,NACIONAL,
37,506142-3,IVECO,TRAKKER 410-T48 Eurot. 6x4 (dies.)(E5),DDD,2017,Semi-Novo,368597,NACIONAL,
38,506142-3,IVECO,TRAKKER 410-T48 Eurot. 6x4 (dies.)(E5),DDD,2017,Novo-Zero,437682,NACIONAL,
39,506145-8,IVECO,TRAKKER 740-T48 Eurot.6X4 (dies.) (E5),DDD,2017,Novo-Zero,476307,NACIONAL,
40,506145-8,IVECO,TRAKKER 740-T48 Eurot.6X4 (dies.) (E5),DDD,2017,Semi-Novo,399533,NACIONAL,
41,509279-5,MERCEDES-BENZ,Accelo 1016 2p (diesel) (E5),DDD,2017,Semi-Novo,120964,NACIONAL,
42,509279-5,MERCEDES-BENZ,Accelo 1016 2p (diesel) (E5),DDD,2017,Novo-Zero,148875,NACIONAL,
43,509278-7,MERCEDES-BENZ,Accelo 815 2p (diesel) (E5),DDD,2017,Novo-Zero,142776,NACIONAL,
44,509278-7,MERCEDES-BENZ,Accelo 815 2p (diesel) (E5),DDD,2017,Semi-Novo,124615,NACIONAL,
45,509275-2,MERCEDES-BENZ,Axor 2544 S/LS 6x2 2p (diesel) (E5),DDD,2017,Semi-Novo,288759,NACIONAL,
46,509275-2,MERCEDES-BENZ,Axor 2544 S/LS 6x2 2p (diesel) (E5),DDD,2017,Novo-Zero,341602,NACIONAL,
47,517011-7,NEOBUS,THUNDER + (Executivo) (diesel)(E5),DDD,2016,Novo-Zero,268662,NACIONAL,
48,517011-7,NEOBUS,THUNDER + (Executivo) (diesel)(E5),DDD,2016,Semi-Novo,220015,NACIONAL,
49,515150-3,VOLKSWAGEN,10-160 E DELIVERY 2p (diesel)(E5),DDD,2018,Novo-Zero,150878,NACIONAL,
50,515150-3,VOLKSWAGEN,10-160 E DELIVERY 2p (diesel)(E5),DDD,2018,Semi-Novo,130962,NACIONAL,
51,515133-3,VOLKSWAGEN,13-190 E Constellation 2p (diesel)(E5),DDD,2018,Semi-Novo,160785,NACIONAL,
52,515133-3,VOLKSWAGEN,13-190 E Constellation 2p (diesel)(E5),DDD,2018,Novo-Zero,185893,NACIONAL,
53,515149-0,VOLKSWAGEN,13-190 E Worker 2p (diesel)(E5),DDD,2018,Novo-Zero,173467,NACIONAL,
54,515149-0,VOLKSWAGEN,13-190 E Worker 2p (diesel)(E5),DDD,2018,Semi-Novo,146458,NACIONAL,
55,515134-1,VOLKSWAGEN,15-190 E Constellation 2p (diesel)(E5),DDD,2018,Semi-Novo,170281,NACIONAL,
56,515134-1,VOLKSWAGEN,15-190 E Constellation 2p (diesel)(E5),DDD,2018,Novo-Zero,200009,NACIONAL,
57,515151-1,VOLKSWAGEN,15-190 E Worker 2p (diesel)(E5),DDD,2018,Semi-Novo,157955,NACIONAL,
58,515151-1,VOLKSWAGEN,15-190 E Worker 2p (diesel)(E5),DDD,2018,Novo-Zero,181976,NACIONAL,
59,515135-0,VOLKSWAGEN,17-190 E Constellation 2p (diesel)(E5),DDD,2018,Novo-Zero,207289,NACIONAL,
60,515135-0,VOLKSWAGEN,17-190 E Constellation 2p (diesel)(E5),DDD,2018,Semi-Novo,179301,NACIONAL,
61,515148-1,VOLKSWAGEN,17-190 E Worker 2p (diesel)(E5),DDD,2018,Semi-Novo,168604,NACIONAL,
62,515148-1,VOLKSWAGEN,17-190 E Worker 2p (diesel)(E5),DDD,2018,Novo-Zero,194245,NACIONAL,
63,515159-7,VOLKSWAGEN,17-230 E Constellation 2p (diesel)(E5),DDD,2018,Semi-Novo,180267,NACIONAL,
64,515159-7,VOLKSWAGEN,17-230 E Constellation 2p (diesel)(E5),DDD,2018,Novo-Zero,208391,NACIONAL,
65,515156-2,VOLKSWAGEN,17-230 WORKER 2p (diesel)(E5),DDD,2018,Novo-Zero,198583,NACIONAL,
66,515156-2,VOLKSWAGEN,17-230 WORKER 2p (diesel)(E5),DDD,2018,Semi-Novo,173640,NACIONAL,
67,515136-8,VOLKSWAGEN,17-280 E Constellation 2p (diesel)(E5),DDD,2018,Semi-Novo,195991,NACIONAL,
68,515136-8,VOLKSWAGEN,17-280 E Constellation 2p (diesel)(E5),DDD,2018,Novo-Zero,226901,NACIONAL,
69,515137-6,VOLKSWAGEN,17-330 E Constellation 2p (diesel)(E5),DDD,2018,Novo-Zero,252222,NACIONAL,
70,515137-6,VOLKSWAGEN,17-330 E Constellation 2p (diesel)(E5),DDD,2018,Semi-Novo,217919,NACIONAL,
71,515152-0,VOLKSWAGEN,24-280 E Constel. 8x2 2p (diesel)(E5),DDD,2017,Semi-Novo,215007,NACIONAL,
72,515152-0,VOLKSWAGEN,24-280 E Constel. 8x2 2p (diesel)(E5),DDD,2017,Novo-Zero,259107,NACIONAL,
73,515130-9,VOLKSWAGEN,5-150 E DELIVERY 2p (diesel)(E5),DDD,2018,Novo-Zero,122086,NACIONAL,
74,515130-9,VOLKSWAGEN,5-150 E DELIVERY 2p (diesel)(E5),DDD,2018,Semi-Novo,99932,NACIONAL,
75,515132-5,VOLKSWAGEN,8-160 E DELIVERY 2p (diesel)(E5),DDD,2018,Semi-Novo,123984,NACIONAL,
76,515132-5,VOLKSWAGEN,8-160 E DELIVERY 2p (diesel)(E5),DDD,2018,Novo-Zero,141052,NACIONAL,
77,515131-7,VOLKSWAGEN,9-160 E DELIVERY 2p (diesel)(E5),DDD,2018,Novo-Zero,149905,NACIONAL,
78,515131-7,VOLKSWAGEN,9-160 E DELIVERY 2p (diesel)(E5),DDD,2018,Semi-Novo,131766,NACIONAL,
